Cta.Conta	Cta.NrCCust	Diar.Mes	Diar.Numero	Data.Lanc	Doc.Tipo	Doc.Numero	Doc.Ordem	Val.Valor	Lan.Refer	RegIVA.Cod	RegIVA.CodI
7111		07	31	10.07.2020	101	770016	1	-294.12	Mercadorias - Trade Tx.Nor.		
2433112001		07	31	10.07.2020	101	770016	2	-67.65	Trans.Internas Tx.Nor.		
21110003		07	31	11.07.2020	101	770017	0	150.99	RacketsPro - Exploração de Cam		
7111		07	31	11.07.2020	101	770017	1	-122.76	Mercadorias - Trade Tx.Nor.		
2433112001		07	31	11.07.2020	101	770017	2	-28.23	Trans.Internas Tx.Nor.		
21110003		07	31	11.07.2020	101	770018	0	150.99	RacketsPro - Exploração de Cam		
7111		07	31	11.07.2020	101	770018	1	-122.76	Mercadorias - Trade Tx.Nor.		
2433112001		07	31	11.07.2020	101	770018	2	-28.23	Trans.Internas Tx.Nor.		
21110004		07	31	17.07.2020	101	770019	0	17.1	Daniel de Castro Vicente		
7111		07	31	17.07.2020	101	770019	1	-13.9	Mercadorias - Trade Tx.Nor.		
2433112001		07	31	17.07.2020	101	770019	2	-3.2	Trans.Internas Tx.Nor.		
21110005		07	31	19.07.2020	101	770020	0	227.09	ALIESONAT - Sociedade Unipesso		
7111		07	31	19.07.2020	101	770020	1	-184.63	Mercadorias - Trade Tx.Nor.		
2433112001		07	31	19.07.2020	101	770020	2	-42.46	Trans.Internas Tx.Nor.		
21110005		07	31	19.07.2020	101	770023	0	67.2	ALIESONAT - Sociedade Unipesso		
7111		07	31	19.07.2020	101	770023	1	-63.4	Mercadorias - Trade Tx.Red.		
2433111001		07	31	19.07.2020	101	770023	2	-3.8	Trans.Internas Tx.Red.		
21110003		07	31	23.07.2020	101	770024	0	20.96	RacketsPro - Exploração de Cam		
7111		07	31	23.07.2020	101	770024	1	-17.04	Mercadorias - Trade Tx.Nor.		
2433112001		07	31	23.07.2020	101	770024	2	-3.92	Trans.Internas Tx.Nor.		
21110003		07	31	23.07.2020	101	770025	0	287.43	RacketsPro - Exploração de Cam		
7111		07	31	23.07.2020	101	770025	1	-233.68	Mercadorias - Trade Tx.Nor.		
2433112001		07	31	23.07.2020	101	770025	2	-53.75	Trans.Internas Tx.Nor.		
21110006		07	31	23.07.2020	101	770026	0	72.03	Dominique Monteiro		
7111		07	31	23.07.2020	101	770026	1	-67.95	Mercadorias - Trade Tx.Red.		
2433111001		07	31	23.07.2020	101	770026	2	-4.08	Trans.Internas Tx.Red.		
21110003		07	31	25.07.2020	101	770027	0	23.76	RacketsPro - Exploração de Cam		
7111		07	31	25.07.2020	101	770027	1	-19.32	Mercadorias - Trade Tx.Nor.		
2433112001		07	31	25.07.2020	101	770027	2	-4.44	Trans.Internas Tx.Nor.		
21119999		07	31	15.07.2020	101	770029	0	5.44	Consumidor final		
7111		07	31	15.07.2020	101	770029	1	-4.42	Mercadorias - Trade Tx.Nor.		
2433112001		07	31	15.07.2020	101	770029	2	-1.02	Trans.Internas Tx.Nor.		
21110003		07	31	23.07.2020	101	770030	0	103.47	RacketsPro - Exploração de Cam		
7111		07	31	23.07.2020	101	770030	1	-84.12	Mercadorias - Trade Tx.Nor.		
2433112001		07	31	23.07.2020	101	770030	2	-19.35	Trans.Internas Tx.Nor.		
62211		07	31	31.07.2020	101	770031	0	400	IT - apoio Sage		
2432312		07	31	31.07.2020	101	770031	1	92	Out.Bens e Serviços Tx.Nor.		
221110006		07	31	31.07.2020	101	770031	2	-492	Numeros Competentes Lda		
62211		07	31	31.07.2020	101	770032	0	4228.15	Consultadoria - gestao		
2432312		07	31	31.07.2020	101	770032	1	972.47	Out.Bens e Serviços Tx.Nor.		
221110003		07	31	31.07.2020	101	770032	2	-5200.62	Sharepax Lda		
62612		07	31	31.07.2020	101	770033	0	125	Contentor		
2432312		07	31	31.07.2020	101	770033	1	28.75	Out.Bens e Serviços Tx.Nor.		
221110002		07	31	31.07.2020	101	770033	2	-153.75	Grupo Vendap SA		
625115		07	31	31.07.2020	101	770034	0	232.9	Deslocações ao Estrangeiro		
221110007		07	31	31.07.2020	101	770034	1	-232.9	Wizzair		
62211		07	31	31.07.2020	101	770035	0	120	Entidades oficiais/equiparadas		
2432312		07	31	31.07.2020	101	770035	1	27.6	Out.Bens e Serviços Tx.Nor.		
221110008		07	31	31.07.2020	101	770035	2	-147.6	Sociedade Ponto Verde SA		
62211		07	31	11.07.2020	101	770036	0	173.92	IT - apoio geral		
2432312		07	31	11.07.2020	101	770036	1	40	Out.Bens e Serviços Tx.Nor.		
221110115		07	31	11.07.2020	101	770036	2	-213.92	Assistimo- Ass Gestao Inst Esp Lda			
